,lon,lat,z
536,-48.38274,-0.17599182,7.5834656
537,-48.38313,-0.17617644,7.586738
538,-48.384453,-0.17573884,7.5859456
539,-48.386723,-0.17468089,7.581001
540,-48.389225,-0.17338556,7.574091
541,-48.391186,-0.17224267,7.5676613
542,-48.39258,-0.17125186,7.561779
543,-48.393387,-0.1704132,7.5565033
544,-48.39372,-0.16974443,7.5521064
545,-48.393684,-0.16926676,7.548864
546,-48.393288,-0.16898467,7.5468187
547,-48.392517,-0.16890104,7.545995
548,-48.391678,-0.16887258,7.5456996
549,-48.391083,-0.16875479,7.5452256
550,-48.390717,-0.16854762,7.544572
551,-48.39059,-0.16825148,7.543737
552,-48.390713,-0.16789271,7.543501
553,-48.391098,-0.16750003,7.544645
554,-48.39174,-0.16707851,7.547154
555,-48.392624,-0.1666337,7.5509925
556,-48.39354,-0.16620952,7.555516
557,-48.39425,-0.16584277,7.5599575
558,-48.394753,-0.1655294,7.564223
559,-48.39505,-0.16526563,7.568234
560,-48.39517,-0.16508433,7.572563
561,-48.395115,-0.16501783,7.5777164
562,-48.394897,-0.16506118,7.5835114
563,-48.394512,-0.1652089,7.589756
564,-48.39403,-0.16533776,7.5951576
565,-48.393612,-0.16533265,7.5987372
566,-48.3932,-0.16519712,7.600725
567,-48.392788,-0.16493061,7.601299
568,-48.392338,-0.1646971,7.6017356
569,-48.39178,-0.16466485,7.6030655
570,-48.391125,-0.16483301,7.605035
571,-48.39037,-0.16519547,7.60737
572,-48.389454,-0.16571246,7.6096363
573,-48.388332,-0.16634862,7.6115637
574,-48.387024,-0.16710463,7.6132636
575,-48.385517,-0.1679971,7.6153083
576,-48.384186,-0.168775,7.6168585
577,-48.383396,-0.16918106,7.6170664
578,-48.38315,-0.16921197,7.615959
579,-48.383446,-0.16886435,7.613529
580,-48.383995,-0.16832988,7.6104107
581,-48.384514,-0.16780223,7.6072564
582,-48.384995,-0.16728121,7.6040654
583,-48.38544,-0.16676676,7.6008363
584,-48.385815,-0.16627783,7.597965
585,-48.386066,-0.16583475,7.595985
586,-48.386196,-0.16544074,7.594883
587,-48.386192,-0.16509826,7.5946317
588,-48.386086,-0.16484608,7.595556
589,-48.385902,-0.16472231,7.597931
590,-48.385643,-0.1647257,7.601631
591,-49.409573,1.4920764,9.219661
592,-49.409763,1.4970834,9.255549
593,-49.60615,1.2758182,10.708447
594,-49.605316,1.2798846,10.740408
595,-49.604492,1.2840787,10.773788
596,-49.60367,1.2883527,10.808165
597,-49.602844,1.292663,10.843144
598,-49.602016,1.2967771,10.876234
599,-49.601124,1.3005295,10.905458
600,-49.600163,1.3039702,10.931188
601,-49.59914,1.3071424,10.953739
602,-49.59811,1.3101346,10.974348
603,-49.59708,1.3130145,10.994144
604,-49.59605,1.3157903,11.013228
605,-49.59502,1.3184687,11.031685
606,-49.59406,1.3211045,11.050151
607,-49.59321,1.323737,11.069136
608,-49.59248,1.3263489,11.088488
609,-49.591854,1.3289225,11.10806
610,-49.591305,1.3314056,11.127158
611,-49.590755,1.3337598,11.145222
612,-49.59026,1.3359588,11.162087
613,-49.58978,1.3379983,11.177744
614,-49.5893,1.3398839,11.192027
615,-49.588818,1.3416241,11.204844
616,-49.588337,1.3432362,11.216388
617,-49.587856,1.3447356,11.226808
618,-49.587425,1.3461354,11.236653
619,-49.587074,1.347442,11.24634
620,-49.5868,1.3486588,11.255818
621,-48.23652,-0.32248718,7.7809186
622,-48.238808,-0.32188988,7.904638
623,-48.24035,-0.32149065,7.9764304
624,-48.241417,-0.32114032,8.026442
625,-48.242146,-0.320816,8.061689
626,-48.242626,-0.3204985,8.0873375
627,-48.242924,-0.32017308,8.106749
628,-48.24306,-0.31983426,8.120987
629,-48.243046,-0.3194755,8.130688
